Game Name	System Description	Fidelity of Action	Fidelity of Action Note	Transience of Peripherals	Transience of Peripherals Note	Variable Outcome	Variable Outcome Note	Recognition of Outcome	Recognition of Outcome Note	Progression	Progression Note	Player Expressiveness	Player Expressiveness Note	Recipe Definition	Recipe Definition Note
World of Warcraft	"Crafting"	0		60	AVERAGING ALL THE TRADESKILLS (Tailoring 80 vs blacksmithing 40)	15	Draenor introduced randomness in outcome of some crafted patterns	75		80	1 & 2 & 3 & 4	0	Crafting at 0, Enchanting and Xmog are at 50	100	
Cooking Mama	"Cooking"	75		25		0		25		20	3	25	Plating	90	Just Process
FF XIV	"Crafting"	70		50	Bumps up if using macros because time is less of a constraint	35	Range is 0-75, As you level up in the game you get better at controlling the randomness	75	Zodiac weapons.	80	1 & 3 & 4 & 5	65	Expression of "making" in skills	100	ALL RECIPES, YO
Minecraft	Block placement	50		75	(Not creative mode. That is at 25)	0		55		0		90		10	
Minecraft	"Crafting"	10		80	Rarely doesn't need a position	10	Because of enchanting. Without enchanting, it's 0	50		90	~1 & 2 & 3 & 4 & 5	25		80	Some parameterization
Terraria	Block placement/NPC housing	50		75		0		70		0		100		25	
Terraria	"Crafting"	5		80		50	Gear comes with random stats	75	Stats make new mechanics	60	2 & 3 & 4	25		100	ALL RECIPES, YO
Pokemon	Breeding	50		75		85	EVs (IVs), stats, gender, nature, moves	75	Stats combat gender and physical model	40	2 & 4	65	<3 Randomness/choice of competition?	50	
Oblivion	Character Creation	75		0		0		70	Race, Gender, Height	0		75		80	Parametric recipes
Skyrim	Character Creation	75		0		0		70	Race, Gender, Height	0		75		80	Parametric recipes
Dragon Age	Character Creation	75		0		0		70	Race, Gender, Height	0		75		80	Parametric recipes
Oblivion	"Crafting"	5		75		0		75	Alchemy etc. physical objects like other MMOs	60	1 & 3 & 4	50	Skyrim potions. Otherwise, smithing is 0	90	100 for skyrim smithing, 85 for dragon age, and 75 for skyrim potions
Skyrim	"Crafting"	5		75		0		75	Alchemy etc. physical objects like other MMOs	60	1 & 3 & 4	50	Skyrim potions. Otherwise, smithing is 0	90	100 for skyrim smithing, 85 for dragon age, and 75 for skyrim potions
Dragon Age	"Crafting"	5		75		0		75	Alchemy etc. physical objects like other MMOs	60	1 & 3 & 4	50	Skyrim potions. Otherwise, smithing is 0	90	100 for skyrim smithing, 85 for dragon age, and 75 for skyrim potions
Fallout IV	Base-building	50		75	Position-constrained	5	NPC show-up time	80	More inter-connected systems	20	1	75		20	
Viva Pinata	Pinata "gardening"	90	Romancin' and gardening	45	Slight position constraints	35	Pinata Showing up and maintaining their requirements	75	Like terraria rooms	80	1 & 2 & 4 & 5	85	HATS AND TAGS	25	
Slime Rancher	Slime ranching?	25		50		35		75		40	2 & 4	65		45	
Neko Atsume	Furniture/Cat "gardening"	15		90	90 or 10 with a note by 10 as you can buy materials	25	entice and show	30		10	~2	50		80	Either we think the entire house is one recipe, or we thin that each cat has a recipe. We think the latter! RARE CATS
Sonic Adventure I	Chao Garden	65		50		0		75		40	1 & 2	70	No completely control over the model control, but still chao behavior/mods	75	parameterized
Sonic Adventure II	Chao Garden	65		50		0		75		40	1 & 2	70	No completely control over the model control, but still chao behavior/mods	75	parameterized
Harvest Moon ___	Farm-building	50		55	~Time constraints	10		55	Weather, chicken/materials	60	2 & 3 & 4	80	Harvest moon at 75, Stardew at 80	5	
Stardew Valley	Farm-building	50		55	~Time constraints	10		55	Weather, chicken/materials	60	2 & 3 & 4	80	Harvest moon at 75, Stardew at 80	5	
Harvest Moon ___	Crafting/Cooking	25		75	Crafting is at 100, cooking is at 50	0		35		90	Stardew at (2 & 3 & 4 & 5) 80, HM at 100	5	Cooking has options for optional ingredients sometimes	90	MAYO
Stardew Valley	Crafting/Cooking	25		75	Crafting is at 100, cooking is at 50	0		35		90	Stardew at (2 & 3 & 4 & 5) 80, HM at 100	5	Cooking has options for optional ingredients sometimes	90	MAYO
Lichdom	Spell-crafting	25		75	Pattern = consumed resource similar to wildstar	0		85	Simulated magic	40	2 & 3	75		50	
Lichdom	Synthesis (DE, Upgrading, Gambling)	15	1-3 options for upgrading	100		85		35	2D menu, generated names	20	4	5	Minor effects from choices	85	
Lost in Blue I	Cooking furniture, weapon-building	75		50		10	Cooking	50		40	2 & 4	15		85	Ingredients and process
Lost in Blue II	Cooking furniture, weapon-building	75		50		10	Cooking	50		40	2 & 4	15		85	Ingredients and process
Lost in Blue III	Cooking furniture, weapon-building	75		50		10	Cooking	50		40	2 & 4	15		85	Ingredients and process
